major,requiredClasses
English Minor,"['LIT 341 American Literature:  Beginnings-1870', 'LIT 342 American Literature:  1870-Present', 'LIT 371 English Literature:  Beginnings-1800', 'LIT 372 English Literature: 1800-Present', 'LING 316 The Nature of Language', 'LING 547 History of the English Language', 'LIT 312 Women Writers', 'LIT 315 Gender and Race in Literature and Film', 'LIT 362 Black Women Writers', 'LIT 365 Asian Women Writers', 'LIT 361 African-American Literature', 'LIT 362 Black Women Writers', 'LIT 363 American Indian Literature', 'LIT 364 Literature by Immigrants of Color', 'LIT 365 Asian Women Writers', 'LIT 368 Asian American Literature', 'HUM 310 The First Civilizations', 'HUM 311 The Classical World:  Greece', 'HUM 312 The Classical World:  Rome', 'HUM 313 Medieval Civilization', 'HUM 314 The Renaissance', 'HUM 315 The Enlightenment', 'HUM 316 Romanticism', 'HUM 317 Modernism', 'HUM 318 Postmodernism', 'HUM 321 Myth', 'HUM 326 Folklore', 'HUM 327 Convivencia:  Jewish, Christian, and Islamic Arts in Medieval Spain', 'HUM 364 The Harlem Renaissance']"
Entrepreneurship and Innovation BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'ACCT 320 Strategic Management Accounting', 'ENTR 400 Innovative Mindset in a Diverse Economy', 'ENTR 490 Entrepreneurship and Venture Creation', 'MGMT 320 Organizational Behavior', 'ENTR 491 Technology Management for Entrepreneurs', 'ENTR 493 Finance for Entrepreneurs', 'ENTR 494 Entrepreneurship and Law', 'ENTR 495 Developing New Products and Services', 'ENTR 496 Writing a Marketing Plan', 'ENTR 497 Writing a Business Plan', 'MGMT 499 Case Studies in Strategic Management']"
Entrepreneurship and Innovation Minor,"['MGMT 310 Management Principles and Practices', 'FIN 390 Principles of Finance', 'MKTG 300 Marketing Principles', 'ENTR 300 Interdisciplinary Business Skills and Knowledge for Non-Business Majors', 'ENTR 400 Innovative Mindset in a Diverse Economy', 'ENTR 490 Entrepreneurship and Venture Creation', 'ENTR 491 Technology Management for Entrepreneurs', 'ENTR 493 Finance for Entrepreneurs', 'ENTR 494 Entrepreneurship and Law', 'ENTR 495 Developing New Products and Services', 'ENTR 496 Writing a Marketing Plan', 'ENTR 497 Writing a Business Plan']"
Environmental Communication Minor,"['WRIT 375 Environmental Communication', 'HIST 363 World Environmental History', 'HIST 333 The Greening of America:  Environmental History since 1900', 'ETHS 304 Environmental Justice and Public Policy', 'NSCI 204 Environmental Science', 'LIT 349 American Nature Writers']"
Environmental Science BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'BIOL 111 General Biology I', 'BIOL 112 General Biology II', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'GEOL 118 Environmental Geology', 'ECON 202 Microeconomics', 'MATH 208 Applied Calculus', 'STAT 201 Statistics I', 'PHYS 110 Introduction to Physics', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'BIOL 310 Ecology', 'BIOL 312 Evolution', 'BIOL 316 Behavioral Ecology', 'CHEM 311 Environmental Chemistry', 'CHEM 311L Environmental Chemistry Lab', 'GEOL 314 Earth Surface Environments', 'ECON 311 Economics of the Environment', ""ESCI 305 Earth's Climate, Past and Future"", 'ESCI 315 Limnology', 'ESCI 320 Ecosystem and Global Ecology', 'BIOL 311 Plant Physiology', 'BIOL 324 Invertebrate Biology', 'BIOL 415 Pollution Ecology', 'BIOL 416 Invasion Biology', 'BIOL 418 GIS for Natural Sciences', 'BIOL 511H Honors Freshwater Ecology and Quality', 'BIOL 512H Honors Insect Ecology and Management', 'BIOL 513H Honors Wetland Ecology ', 'BIOL 514H Honors Forest Ecology', 'ESCI 350I Environmental Science Individualized Internship ', 'ESCI 469 Seminars in Environmental Science', 'ESCI 479 Advanced Topics in Environmental Science', 'ESCI 489 Senior Research in Environmental Science', 'GEOL 340 Water Resources  ', 'STAT 353 Environmental Statistics', 'WRIT 375 Environmental Communication']"
Ethnic Studies BA,"['ETHS 100 Introduction to Ethnic Studies', 'ETHS 200 Theories of Race, Ethnicity and Culture', 'ETHS 400 Applied Research for Social Change', 'ETHS 499 Ethnic Studies Capstone', 'ETHS 302 Immigrant Communities and the Trajectories of Othering', 'ETHS 303 The Politics of Racial Resistance and Protest in the United States', 'ETHS 304 Environmental Justice and Public Policy', 'ETHS 305 Major Issues in U.S. Race Relations', 'ETHS 306 Politics of Mixed Racial Identity', 'ETHS 309 Race and Public Policy', 'ETHS 311 Understanding Racial and Ethnic Groups in the United States', 'ETHS 315 Color of Incarceration', 'ETHS 316 Race and Religion', 'RELS 333 Race and Religion', 'ETHS 318 Trauma and Traumascapes: Identity, Legacy, and Memory  ', 'ETHS 324 Race, Identity, and the Internet', 'ETHS 326 Race and Work in American Life', 'ETHS 380 Special Topics in Ethnic Studies', 'ANTH 309 New Neighbors:  The U.S. Hmong Community', 'GNDR 375 Intersectionality', 'HIST 372 History of Japanese Popular Culture', 'HSER 395 Intersection of Race and Diversity in Human Services', 'HSFS 338 Family:  Racial, Gender and Class Dimensions', 'HUM 333 The Photo and the Other', 'HUM 364 The Harlem Renaissance', 'LIT 362 Black Women Writers', 'LIT 363 American Indian Literature', 'LIT 364 Literature by Immigrants of Color', 'LING 326 Language and Culture', 'PHIL 362 Philosophy and Blackness', 'PHIL 366 Race and Racism:  Philosophical Problems', 'PSYC 328 Psychology of African Americans', 'RELS 304 Introduction to World Religions', 'RELS 305 Jewish-Christian Encounter', 'RELS 308 World of Islam', 'RELS 309 Justice, War and Peace in Judaism, Christianity and Islam', 'RELS 380 Muslim Identities in the United States', 'ETHS 302 Immigrant Communities and the Trajectories of Othering', 'ETHS 303 The Politics of Racial Resistance and Protest in the United States', 'ETHS 304 Environmental Justice and Public Policy', 'ETHS 305 Major Issues in U.S. Race Relations', 'ETHS 306 Politics of Mixed Racial Identity', 'ETHS 309 Race and Public Policy', 'ETHS 311 Understanding Racial and Ethnic Groups in the United States', 'ETHS 315 Color of Incarceration', 'ETHS 316 Race and Religion', 'ETHS 318 Trauma and Traumascapes: Identity, Legacy, and Memory  ', 'ETHS 324 Race, Identity, and the Internet', 'ETHS 326 Race and Work in American Life', 'ETHS 380 Special Topics in Ethnic Studies', 'ETHS 244 African Americans in Minnesota', 'ETHS 270 Global Blackness', 'ETHS 342 Contemporary Issues in Black America', 'ETHS 370 Black Thought', 'ETHS 375 Black Life in Wealth and Poverty', 'LIT 361 African-American Literature', 'LIT 362 Black Women Writers', 'PHIL 362 Philosophy and Blackness', 'PSYC 328 Psychology of African Americans', 'HIST 311 African American History', 'HIST 315 The Civil Rights Movement in the 1960s', 'ETHS 231 Global Native and Indigenous Studies', 'ETHS 232 American Indians in Minnesota', 'ETHS 332 Topics in Contemporary Native North America', 'ETHS 335 American Indian Nations:  Law, Power, and Persistence', 'ETHS 334 American Indian Spirituality', 'DKTA 100 Dakota Language and Culture', 'HIST 310 American Indian History', 'LIT 363 American Indian Literature', 'OJIB 100 Ojibwe Culture and Language', 'ETHS 262 Asian Americans in Minnesota', 'ETHS 361 History of Asian Americans', 'ETHS 363 Asian American  Women: Myths and Realities', 'ETHS 250 Latino/Hispanic Cultural Competency: Introductory Concepts', 'ETHS 252 Latinas/os in Minnesota', 'ETHS 352 Latina/o Cultural Politics', 'ETHS 354 Comparative Latinx and Latin American Gender and Sexuality']"
Ethnic Studies Minor,"['ETHS 100 Introduction to Ethnic Studies', 'ETHS 200 Theories of Race, Ethnicity and Culture', 'ETHS 302 Immigrant Communities and the Trajectories of Othering', 'ETHS 303 The Politics of Racial Resistance and Protest in the United States', 'ETHS 304 Environmental Justice and Public Policy', 'ETHS 305 Major Issues in U.S. Race Relations', 'ETHS 306 Politics of Mixed Racial Identity', 'ETHS 309 Race and Public Policy', 'ETHS 311 Understanding Racial and Ethnic Groups in the United States', 'ETHS 315 Color of Incarceration', 'ETHS 316 Race and Religion', 'ETHS 318 Trauma and Traumascapes: Identity, Legacy, and Memory  ', 'ETHS 324 Race, Identity, and the Internet', 'ETHS 326 Race and Work in American Life', 'ETHS 380 Special Topics in Ethnic Studies', 'ETHS 244 African Americans in Minnesota', 'ETHS 270 Global Blackness', 'ETHS 342 Contemporary Issues in Black America', 'ETHS 370 Black Thought', 'ETHS 375 Black Life in Wealth and Poverty', 'HIST 311 African American History', 'HIST 315 The Civil Rights Movement in the 1960s', 'HUM 364 The Harlem Renaissance', 'LIT 361 African-American Literature', 'LIT 362 Black Women Writers', 'PHIL 362 Philosophy and Blackness', 'PSYC 328 Psychology of African Americans', 'ETHS 231 Global Native and Indigenous Studies', 'ETHS 232 American Indians in Minnesota', 'ETHS 332 Topics in Contemporary Native North America', 'ETHS 334 American Indian Spirituality', 'ETHS 335 American Indian Nations:  Law, Power, and Persistence', 'DKTA 100 Dakota Language and Culture', 'HIST 310 American Indian History', 'LIT 363 American Indian Literature', 'OJIB 100 Ojibwe Culture and Language', 'ETHS 262 Asian Americans in Minnesota', 'ETHS 361 History of Asian Americans', 'ETHS 363 Asian American  Women: Myths and Realities', 'LIT 368 Asian American Literature', 'ETHS 250 Latino/Hispanic Cultural Competency: Introductory Concepts', 'ETHS 252 Latinas/os in Minnesota', 'ETHS 352 Latina/o Cultural Politics', 'ETHS 354 Comparative Latinx and Latin American Gender and Sexuality']"
Evidence-Based Practices in Corrections Certificate,"['CJS 202 Introduction to Evidence-Based Practices', 'CJS 303 Risk, Need, Responsivity in Evidence-Based Practices', 'CJS 304 Case Planning with Justice-Involved Individuals', 'HSER 346 Counseling and Interviewing Skills']"
Family Nurse Practitioner DNP,"['NURS 602 Ethical Dimensions for Advanced Nursing Practice', 'NURS 603 Advanced Integrative Nursing Care', 'NURS 604 Evidence-Based Nursing Practice', 'NURS 609 Pharmacology for Advanced Nursing Practice', 'NURS 610 Pathophysiology for Advanced Nursing Practice', 'NURS 621 Primary Care Nursing I', 'NURS 628 Family Health Promotion and Health Maintenance', 'NURS 637 Informatics for Advanced Nursing Practice', 'NURS 700 Advanced Nursing Science', 'NURS 703 Research Methodology and Advanced Evidence-Based Practice', 'NURS 708 Epidemiology and Population Health', 'STAT 621 Advanced Biostatistics in Health Research', 'NURS 647 Leadership in Health Care Systems', 'NURS 749 Resource Management and Finance for Health Care', 'NURS 751 Health Policy and Advocacy', 'HSCI 648 Designing for Quality in Health Care', 'NURS 616 Health Assessment for Advanced Nursing Practice', 'NURS 616L Health Assessment for Advanced Nursing Practice Lab', 'NURS 621 Primary Care Nursing I', 'NURS 621P Primary Care Nursing I Practicum', 'NURS 627 Applied Pharmacology for Advanced Nursing Practice', 'NURS 722 Primary Care II', 'NURS 722P Primary Care II Practicum', 'NURS 723 Primary Care Nursing III:  Pediatrics', 'NURS 723P Primary Care Nursing III Practicum', 'NURS 724 Primary Care Nursing IV: Complex Care', 'NURS 724P Primary Care Nursing IV: Complex Care Practicum', 'NURS 636 Labs and Diagnostics for Advanced Practice Nursing', 'NURS 741 Pre-Scholarship', 'NURS 742 DNP Scholarship Project Assessment', 'NURS 750 DNP Scholarship I', 'NURS 760 DNP Scholarship II', 'NURS 770 DNP Scholarship III', 'NURS 610 Pathophysiology for Advanced Nursing Practice', 'NURS 628 Family Health Promotion and Health Maintenance', 'NURS 700 Advanced Nursing Science', 'NURS 703 Research Methodology and Advanced Evidence-Based Practice', 'NURS 708 Epidemiology and Population Health', 'NURS 609 Pharmacology for Advanced Nursing Practice', 'HSCI 648 Designing for Quality in Health Care', 'NURS 749 Resource Management and Finance for Health Care', 'NURS 751 Health Policy and Advocacy', 'NURS 616 Health Assessment for Advanced Nursing Practice', 'NURS 616L Health Assessment for Advanced Nursing Practice Lab', 'NURS 627 Applied Pharmacology for Advanced Nursing Practice', 'NURS 621 Primary Care Nursing I', 'NURS 621P Primary Care Nursing I Practicum', 'NURS 722 Primary Care II', 'NURS 722P Primary Care II Practicum', 'NURS 723 Primary Care Nursing III:  Pediatrics', 'NURS 723P Primary Care Nursing III Practicum', 'NURS 724 Primary Care Nursing IV: Complex Care', 'NURS 724P Primary Care Nursing IV: Complex Care Practicum', 'NURS 636 Labs and Diagnostics for Advanced Practice Nursing', 'NURS 741 Pre-Scholarship', 'NURS 742 DNP Scholarship Project Assessment', 'NURS 750 DNP Scholarship I', 'NURS 760 DNP Scholarship II', 'NURS 770 DNP Scholarship III']"
Family Studies Minor,"['HSFS 343 The Family:  A Social/Psychological Exploration', 'HSCD 301 Substance Use and the Family', 'HSER 352 Family Counseling', 'HSFS 338 Family:  Racial, Gender and Class Dimensions', 'HSFS 339 Issues and Actions in Family Policy', 'HSFS 341 Work and Family', 'HSFS 342 Children in U.S. Society', 'HSVP 308 Family Violence Across the Lifespan']"
Finance BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'FIN 392 Corporate Finance', 'FIN 511 Investment and Portfolio Analysis', 'ACCT 310 Financial Reporting', 'ACCT 311 Intermediate Accounting I', 'ACCT 515 Financial Statement Analysis', 'ECON 300 Analytical and Quantitative Methods for Economists', 'ECON 317 Global Economic and Financial Crises: Theory and Policy', 'ECON 352 Intermediate Microeconomics', 'ECON 420 Money, Banking and Financial Institutions', 'ECON 497 Economic Research and Forecasting', 'FIN 395 Principles of Real Estate', 'FIN 495 Real Estate Finance and Investment', 'FIN 496 Financial Derivatives', 'FIN 550 International Finance', 'FIN 560 Financial Markets and Institutions', 'FIN 595 Advanced Corporate Finance', 'MATH 301 Introduction to Analysis', 'MATH 315 Linear Algebra and Applications', 'MATH 340 Mathematical Modeling', 'MATH 450 Operations Research', 'RMI 300 Risk Management and Insurance', 'MGMT 499 Case Studies in Strategic Management']"
Game Studies Minor,"['MDST 363 Children, Adolescents and the Media', 'MDST 381 Video Game Culture', 'SCRW 383 Writing For Video Games', 'GNDR 270 Gender, Race and Popular Culture', 'HIST 305 U.S. Economic Life:  Technology', 'HUM 313 Medieval Civilization', 'HUM 321 Myth', 'HUM 327 Convivencia:  Jewish, Christian, and Islamic Arts in Medieval Spain', 'LIT 327 The Fairy Tale', 'MDST 485 Communicating with New Media ', 'MDST 490 Big Data and the Connected Citizen', 'MDST 580 Issues in Communication Technology', 'THEA 400 Playwriting I']"
Gender Studies BA,"['INFS 115 Information Access', 'INFS 315 Searching for Information', ""GNDR 201 Introduction to Gender and Women's Studies"", 'GNDR 345 Global Perspectives on Gender', 'GNDR 375 Intersectionality', 'GNDR 399 Applied Concepts in Gender Studies', 'GNDR 365 The Cultural Politics of LGBT Sexuality', 'GNDR 367 Transgender Identities', 'ETHS 400 Applied Research for Social Change', 'HIST 301 Historical Interpretation', 'LIT 502 Literary Criticism:  1950-Present', 'SSCI 311 Research Methods in Social Science', 'ANTH 302 Gender and Culture', 'ANTH 310 Anthropology of Masculinity', 'BIOL 106 Biology of Women', 'CJS 318 Women and Crime', 'COMM 321 Gender, Sport and Communication in the U.S.', 'ECON 315 Economics of Diversity', 'ETHS 354 Comparative Latinx and Latin American Gender and Sexuality', 'ETHS 363 Asian American  Women: Myths and Realities', 'GNDR 220 Introductory Topics in Gender Studies', 'GNDR 270 Gender, Race and Popular Culture', 'GNDR 300 Topics in Gender Studies', 'GNDR 350I Gender Studies Internship', 'GNDR 360I Gender Studies Student Designed Independent Studies', 'GNDR 365 The Cultural Politics of LGBT Sexuality', 'GNDR 367 Transgender Identities', 'GNDR 369 GLBT Issues In Literature and Film', 'HIST 309 Women and Public Activism', 'HIST 328 Women in Modern U.S. History', 'HIST 339 History of Sexuality: Modern Perspectives', 'HIST 357 Gender in Early Modern Europe', ""HIST 394 Comparative Women's History"", ""HIST 451 American Women's Movements"", 'IDST 330 Women in Math, Science and Technology', 'LING 346 Language and Gender', 'LIT 312 Women Writers', 'LIT 315 Gender and Race in Literature and Film', 'LIT 362 Black Women Writers', 'LIT 365 Asian Women Writers', 'PHIL 306 Philosophy and Sexuality', 'PSYC 331 Psychology of Men', 'PSYC 335 Psychology of Women', 'PSYC 367 Human Sexuality', 'RELS 377 Women and Religion', 'SOC 325 The Body in Society']"
Gender Studies Minor,"[""GNDR 201 Introduction to Gender and Women's Studies"", 'GNDR 399 Applied Concepts in Gender Studies', 'GNDR 270 Gender, Race and Popular Culture', 'GNDR 345 Global Perspectives on Gender', 'GNDR 365 The Cultural Politics of LGBT Sexuality', 'GNDR 367 Transgender Identities', 'GNDR 375 Intersectionality', 'ANTH 302 Gender and Culture', 'BIOL 106 Biology of Women', 'CJS 318 Women and Crime', 'COMM 321 Gender, Sport and Communication in the U.S.', 'ECON 315 Economics of Diversity', 'ETHS 354 Comparative Latinx and Latin American Gender and Sexuality', 'ETHS 363 Asian American  Women: Myths and Realities', 'GNDR 220 Introductory Topics in Gender Studies', 'GNDR 270 Gender, Race and Popular Culture', 'GNDR 300 Topics in Gender Studies', 'GNDR 345 Global Perspectives on Gender', 'GNDR 350I Gender Studies Internship', 'GNDR 360I Gender Studies Student Designed Independent Studies', 'GNDR 365 The Cultural Politics of LGBT Sexuality', 'GNDR 367 Transgender Identities', 'GNDR 369 GLBT Issues In Literature and Film', 'HIST 309 Women and Public Activism', 'HIST 328 Women in Modern U.S. History', 'HIST 339 History of Sexuality: Modern Perspectives', 'HIST 357 Gender in Early Modern Europe', ""HIST 394 Comparative Women's History"", ""HIST 451 American Women's Movements"", 'HSVP 307 Gender Violence in Global Perspective', 'IDST 330 Women in Math, Science and Technology', 'LING 346 Language and Gender', 'LIT 312 Women Writers', 'LIT 315 Gender and Race in Literature and Film', 'LIT 362 Black Women Writers', 'LIT 365 Asian Women Writers', 'PHIL 306 Philosophy and Sexuality', 'PSYC 331 Psychology of Men', 'PSYC 335 Psychology of Women', 'PSYC 367 Human Sexuality', 'RELS 377 Women and Religion', 'SOC 325 The Body in Society']"
"Generalist Track, Social Science BA","['ANTH 301 Approaches to Cultural Anthropology', 'ANTH 302 Gender and Culture', 'POL 301 Citizenship in a Global Context', 'POL 321 Approaches to World Politics', 'SOC 301 Contemporary Sociology', 'SOC 302 Interpersonal and Social Power:  A View from Below', 'SOC 321 Food, Culture, and Society', 'SSCI 300 Seeing Like a Social Scientist', 'SSCI 311 Research Methods in Social Science', 'SSCI 501 Great Ideas:  Classics of Social Science', 'SSCI 451 Empirical Research Capstone', 'SSCI 452 Conceptual Research Capstone']"
"Global Studies Track, Social Science BA","['GEOG 201 Introduction to Geography', 'ANTH 302 Gender and Culture', 'ANTH 328 Anthropology of Immigrants and Refugees', 'POL 301 Citizenship in a Global Context', 'POL 321 Approaches to World Politics', 'SOC 303 Ethnic Conflict in Global Perspective', 'SOC 304 Social Movements in Global Perspective', 'SSCI 300 Seeing Like a Social Scientist', 'SSCI 311 Research Methods in Social Science', 'SSCI 501 Great Ideas:  Classics of Social Science', 'SSCI 451 Empirical Research Capstone', 'SSCI 452 Conceptual Research Capstone', 'ANTH 301 Approaches to Cultural Anthropology', 'ANTH 304 Anthropology of Religion', 'ANTH 308 Archaeology:  Explaining the Past', 'POL 323 The Middle East and International Conflict']"
Global Supply Chain Management GCERT,"['DSCI 681 Operations Management', 'MKTG 652 Supply Chain Logistics', 'MKTG 653 Global Sourcing', 'IBUS 690 Doing Business Internationally', 'DSCI 640 Supply Chain Management:  Concepts and Techniques']"
Health System Studies BS,"['WRIT 331 Writing in Your Major', 'HSCI 301 Understanding the U.S. Health System', 'HSCI 309 Global Health Issues', 'PSYC 346 Health Psychology', 'MGMT 310 Management Principles and Practices', 'HSA 369 Program Evaluation']"
History BA,"['WRIT 131 Writing I', 'HIST 101 The American Past:  To 1865', 'HIST 102 The American Past:  From 1865', 'HIST 103 World History I:  Patterns of Civilization to 1500', 'HIST 104 World History II:  The Modern World, 1500 to the Present', 'HIST 301 Historical Interpretation', 'HIST 401 Topics Proseminar ', 'HIST 490 Historian as Investigator:  Historical Research', 'HIST 303 U.S. Economic Life:  Business', 'HIST 304 U.S. Economic Life:  Working People', 'HIST 305 U.S. Economic Life:  Technology', 'HIST 309 Women and Public Activism', 'HIST 310 American Indian History', 'HIST 311 African American History', 'HIST 312 Beginnings of American Society:  Colonial and Revolutionary History', 'HIST 313 The American Presidents', 'HIST 315 The Civil Rights Movement in the 1960s', 'HIST 320 History of Asian Americans', 'HIST 327 American History at the Movies', 'HIST 328 Women in Modern U.S. History', 'HIST 329 Legacies:  History of Women and the Family', 'HIST 331 Religion and Politics in America', 'HIST 333 The Greening of America:  Environmental History since 1900', 'HIST 334 The Great Depression of the 1930s', 'HIST 335 A New Birth of Freedom:  U.S. Civil War and Reconstruction', 'HIST 336 From Roosevelt to Reagan: American History, 1932-1980', 'HIST 337 American Empire: U.S. Foreign Relations Since 1898', 'HIST 341 The Vietnam War', 'HIST 342 The Sixties Experience', 'HIST 344 From Reagan to Obama to Trump: America Since 1980', 'HIST 348 U.S. Legal History: A Survey', 'HIST 350 Europe:  Creation and Conflict, 1500-1789', 'HIST 351 Europe: The Global Power, 1789-Present', 'HIST 354 History of the Holocaust', 'HIST 355 Problems of Contemporary Europe in Historical Perspective', 'HIST 357 Gender in Early Modern Europe', 'HIST 361 Africa:  From Ancient Times to 1800', 'HIST 362 Africa:  From Colonialism to Independence', 'HIST 363 World Environmental History', 'HIST 370 Behind the Great Wall:  The Real China', 'HIST 371 Understanding Modern Japan', 'HIST 372 History of Japanese Popular Culture', 'HIST 373 US-Japanese Relations from a Racial Perspective', 'HIST 380 Mexico, Central America and the Caribbean', 'HIST 382 Latin American History I: To 1910', 'HIST 383 Latin America History II: 1910 to Present', 'HIST 391 The Crusades: Origins and Global Perspectives', ""HIST 394 Comparative Women's History"", 'HIST 395 The Rise and Fall of Communism', 'HIST 398 World War II:  A Global History', 'HIST 401 Topics Proseminar ', 'HIST 309 Women and Public Activism', 'HIST 328 Women in Modern U.S. History', 'HIST 329 Legacies:  History of Women and the Family', 'HIST 339 History of Sexuality: Modern Perspectives', 'HIST 357 Gender in Early Modern Europe', ""HIST 394 Comparative Women's History""]"
History Minor,"['HIST 101 The American Past:  To 1865', 'HIST 102 The American Past:  From 1865', 'HIST 103 World History I:  Patterns of Civilization to 1500', 'HIST 104 World History II:  The Modern World, 1500 to the Present', 'HIST 301 Historical Interpretation', 'HIST 303 U.S. Economic Life:  Business', 'HIST 304 U.S. Economic Life:  Working People', 'HIST 305 U.S. Economic Life:  Technology', 'HIST 309 Women and Public Activism', 'HIST 310 American Indian History', 'HIST 311 African American History', 'HIST 312 Beginnings of American Society:  Colonial and Revolutionary History', 'HIST 313 The American Presidents', 'HIST 315 The Civil Rights Movement in the 1960s', 'HIST 320 History of Asian Americans', 'HIST 327 American History at the Movies', 'HIST 328 Women in Modern U.S. History', 'HIST 329 Legacies:  History of Women and the Family', 'HIST 331 Religion and Politics in America', 'HIST 333 The Greening of America:  Environmental History since 1900', 'HIST 334 The Great Depression of the 1930s', 'HIST 335 A New Birth of Freedom:  U.S. Civil War and Reconstruction', 'HIST 336 From Roosevelt to Reagan: American History, 1932-1980', 'HIST 337 American Empire: U.S. Foreign Relations Since 1898', 'HIST 341 The Vietnam War', 'HIST 342 The Sixties Experience', 'HIST 344 From Reagan to Obama to Trump: America Since 1980', 'HIST 348 U.S. Legal History: A Survey', 'HIST 350 Europe:  Creation and Conflict, 1500-1789', 'HIST 351 Europe: The Global Power, 1789-Present', 'HIST 354 History of the Holocaust', 'HIST 355 Problems of Contemporary Europe in Historical Perspective', 'HIST 357 Gender in Early Modern Europe', 'HIST 361 Africa:  From Ancient Times to 1800', 'HIST 362 Africa:  From Colonialism to Independence', 'HIST 363 World Environmental History', 'HIST 370 Behind the Great Wall:  The Real China', 'HIST 371 Understanding Modern Japan', 'HIST 372 History of Japanese Popular Culture', 'HIST 373 US-Japanese Relations from a Racial Perspective', 'HIST 380 Mexico, Central America and the Caribbean', 'HIST 382 Latin American History I: To 1910', 'HIST 383 Latin America History II: 1910 to Present', 'HIST 391 The Crusades: Origins and Global Perspectives', ""HIST 394 Comparative Women's History"", 'HIST 395 The Rise and Fall of Communism', 'HIST 398 World War II:  A Global History', 'HIST 401 Topics Proseminar ', 'HIST 490 Historian as Investigator:  Historical Research', 'HIST 309 Women and Public Activism', 'HIST 328 Women in Modern U.S. History', 'HIST 329 Legacies:  History of Women and the Family', 'HIST 339 History of Sexuality: Modern Perspectives', 'HIST 357 Gender in Early Modern Europe', ""HIST 394 Comparative Women's History""]"
Human Resource Management BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'MGMT 310 Management Principles and Practices', 'MGMT 320 Organizational Behavior', 'MKTG 300 Marketing Principles', 'MIS 310 Principles of Management Information Systems', 'FIN 390 Principles of Finance', 'HRM 310 Human Resource Management:  A Strategic Framework', 'HRM 520 Staffing Organizations', 'HRM 530 Employee Development and Training', 'HRM 540 Compensation Management', 'HRM 544 Employee Benefits Management', 'ECON 313 Labor Economics', 'MGMT 360 Managing a Diverse Workforce', 'HRM 330 Personnel and Industrial Psychology', 'PSYC 344 Industrial-Organizational Psychology', 'HRM 335 Understanding and Addressing Race in the Workplace', 'HRM 370 Employment Law', 'HRM 380 Managing Employee Health and Safety', 'HRM 550 Employee/Labor Relations', 'HRM 585 International Human Resource Management', 'MGMT 499 Case Studies in Strategic Management']"
Human Resource Management Minor,"['MGMT 310 Management Principles and Practices', 'MGMT 320 Organizational Behavior', 'HRM 310 Human Resource Management:  A Strategic Framework', 'HRM 370 Employment Law', 'HRM 520 Staffing Organizations', 'HRM 530 Employee Development and Training', 'HRM 335 Understanding and Addressing Race in the Workplace', 'HRM 540 Compensation Management', 'HRM 544 Employee Benefits Management']"
