major,requiredClasses
Business Analytics GCERT,"['MIS 600 Management Information Systems', 'MIS 671 Problem Formulation and Data Presentation', 'MIS 687 Business Analytics', 'MIS 688 Predictive Analytics', 'MIS 686 Advanced Data Mining Tools', 'MIS 693 Advanced Supply Chain Information Systems', 'MIS 685 Data Mining Tools']"
Business Analytics Minor,"['STAT 201 Statistics I', 'MIS 310 Principles of Management Information Systems', 'DATA 211 Data Science and Visualization', 'MIS 380 Business Intelligence and Analytics ', 'MIS 480 Predictive Analytics', 'STAT 480 Statistical Consulting', 'MIS 335 Management and Use of Databases', 'STAT 301 Analysis of Variance and Multivariate Analysis', 'STAT 311 Regression Analysis']"
Chemistry BS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'MATH 210 Calculus I', 'MATH 211 Calculus II', 'CHEM 231 Organic Chemistry I', 'CHEM 231L Organic Chemistry I Lab', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'CHEM 332 Organic Chemistry II', 'CHEM 332L Organic Chemistry II Lab', 'CHEM 341 Quantitative Analysis', 'CHEM 351 Physical Chemistry I ', 'CHEM 325 Biochemistry I: Biomolecule Structure and Function', 'CHEM 327 Biochemistry Laboratory', 'CHEM 421 Medicinal Chemistry', 'CHEM 433 Advanced Organic Chemistry', 'CHEM 435 Advanced Organic Chemistry Lab', 'CHEM 311 Environmental Chemistry', 'CHEM 311L Environmental Chemistry Lab', 'CHEM 355 Physical Chemistry II', 'CHEM 357 Physical Chemistry II Lab ', 'CHEM 361 Inorganic Chemistry Lecture and Lab', 'CHEM 441 Instrumental Analysis ', 'CHEM 350I Chemistry Internship', 'CHEM 407 Biochemistry of Neurological Disorders', 'CHEM 425 Polymer Chemistry and Dynamics', 'CHEM 429 Biochemistry II: Bioenergetics, Metabolism, and Macromolecule Biosynthesis', 'CHEM 437L Research Methods', 'CHEM 469 Seminars in Chemistry', 'CHEM 479 Special Topics in Chemistry', 'CHEM 479L Special Topics in Chemistry Laboratory', 'CHEM 489 Directed Research in Chemistry']"
Chemistry Minor,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'CHEM 111 General Chemistry I', 'CHEM 112 General Chemistry II', 'CHEM 231 Organic Chemistry I', 'CHEM 231L Organic Chemistry I Lab', 'CHEM 341 Quantitative Analysis', 'CHEM 311 Environmental Chemistry', 'CHEM 311L Environmental Chemistry Lab', 'CHEM 325 Biochemistry I: Biomolecule Structure and Function', 'CHEM 327 Biochemistry Laboratory', 'CHEM 332 Organic Chemistry II', 'CHEM 332L Organic Chemistry II Lab', 'CHEM 351 Physical Chemistry I ', 'CHEM 361 Inorganic Chemistry Lecture and Lab', 'CHEM 407 Biochemistry of Neurological Disorders', 'CHEM 421 Medicinal Chemistry', 'CHEM 425 Polymer Chemistry and Dynamics', 'CHEM 429 Biochemistry II: Bioenergetics, Metabolism, and Macromolecule Biosynthesis', 'CHEM 437L Research Methods', 'CHEM 441 Instrumental Analysis ', 'CHEM 469 Seminars in Chemistry', 'CHEM 479 Special Topics in Chemistry', 'CHEM 479L Special Topics in Chemistry Laboratory', 'CHEM 489 Directed Research in Chemistry']"
Child Psychology Minor,"['PSYC 100 General Psychology', 'PSYC 308 Child Psychology', 'PSYC 330 Psychology of Learning:  Contemporary Theories and Applications', 'PSYC 327 Psychological Testing', 'PSYC 385 Educational Psychology', 'PSYC 356 Early Childhood Development within a Social/Cultural and Historical Context', 'PSYC 339 Working with Children in the Middle Years', 'PSYC 102 Dynamics of Parent/Child Relationships', 'PSYC 305 Behavior Disorders in Children', 'PSYC 390 Developmental Disabilities: Issues, Assessment and Intervention', 'PSYC 393 Special Education Overview', 'PSYC 306 Child Abuse', 'PSYC 212 Introduction to Diversity and Ethics in Psychology', 'PSYC 313 Family Systems', 'HSFS 342 Children in U.S. Society', 'PSYC 359 Positive Behavior Guidance', 'PSYC 360 Friday Forum Topics']"
Civic Engagement Minor,['IDST 310 Principles of Civic Engagement']
Co-occurring Disorders Recovery Counseling MS,"['HSCD 580G Introduction to Counseling', 'HSCD 590G Introduction to Substance Use and Co-occurring Disorders', 'HSCD 600 Foundations, Models and Evidence-Based Practices', 'HSCD 601 Cognitive Behavioral and Trauma-Informed Strategies', 'HSCD 602 Advanced Motivational Interviewing: Practice and Supervision', 'HSCD 603 Ethics and Professional Practice', 'HSCD 611 Culturally Responsive and Anti-Oppressive Practice', 'HSCD 650 Evaluation and Utilization of Research', 'HSCD 610 Evidence-Based Group Counseling', 'HSCD 612 Family Counseling', 'HSCD 613 Career Development Theory and Practice', 'HSCD 620 Psychopharmacology', 'HSCD 630 Integrated Care: Screening and Assessment', 'HSCD 631 Integrated Care: Treatment and Recovery Planning', 'HSCD 635 Integrated Care: Advanced Practice', 'HSCD 640 Clinical Supervision', 'PSYC 611 Advanced Lifespan Developmental Psychology', 'PSYC 618 Program Evaluation', 'PSYC 648 Psychopathology', ""HSCD 651 Master's Project Seminar"", 'HSCD 681 Practicum I', 'HSCD 682 Practicum II']"
Community and Applied Social Psychology Minor,"['PSYC 100 General Psychology', 'PSYC 336 Social Psychology', 'PSYC 363 Community Psychology', 'PSYC 314 Group Dynamics and Facilitation', 'PSYC 334 Peace Studies and the Psychology of Peace', 'PSYC 344 Industrial-Organizational Psychology', 'PSYC 346 Health Psychology', 'PSYC 347 Positive Psychology', 'PSYC 370 Political Psychology', 'PSYC 372 Cross-Cultural Psychology', 'PSYC 387 Environmental Psychology', 'PSYC 402 Preventive Psychology', 'PSYC 312 Research Methods']"
Community Organizing and Development Minor,"['SOC 311 Community Organizing and Social Action', 'POL 312 Advocacy for Policy Change', 'IDST 343 Perspectives on Community Development']"
Computer Application Development BAS,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'MATH 215 Discrete Mathematics', 'ICS 140 Computational Thinking with Programming', 'ICS 141 Programming with Objects', 'ICS 225 Web Design and Implementation', 'ICS 251 IT Work Skills', 'ICS 311 Database Management Systems', 'ICS 370 Software Design Models', 'ICS 325 Internet Application Development', 'ICS 425 Client/Server Architectures', 'ICS 350I Information and Computer Sciences Individualized Internship']"
